brand,model_year,milage,fuel_type,engine,transmission,price
Rolls-Royce,2022,115 mi.,Gasoline,6.7L V12 48V GDI DOHC Twin Turbo,8-Speed Automatic,"$449,995"
Cadillac,2015,"71,000 mi.",Gasoline,420.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,6-Speed A/T,"$35,999"
Acura,2020,"31,015 mi.",Gasoline,2.0L I4 16V GDI DOHC Turbo,10-Speed Automatic,"$36,570"
BMW,2022,"33,000 mi.",Gasoline,228.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,"$29,999"
Chrysler,2017,"63,000 mi.",–,–,9-Speed A/T,"$20,000"
Buick,2013,"68,325 mi.",E85 Flex Fuel,180.0HP 2.4L 4 Cylinder Engine Flex Fuel Capability,Transmission w/Dual Shift Mode,"$11,995"
Mercedes-Benz,2020,"20,937 mi.",Gasoline,4.0L V8 32V GDI DOHC Twin Turbo,9-Speed Automatic,"$104,900"
RAM,2021,"34,365 mi.",Gasoline,410.0HP 6.4L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,"$48,000"
Mercedes-Benz,2018,"32,000 mi.",Gasoline,208.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,"$44,900"
Land,2020,"40,237 mi.",Gasoline,2.0 Liter,Automatic,"$36,998"
Volvo,2020,"22,500 mi.",Gasoline,316.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,"$50,000"
Ford,2020,"58,700 mi.",Gasoline,375.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,10-Speed A/T,"$48,999"
Toyota,2006,"264,893 mi.",Hybrid,208.0HP 3.3L V6 Cylinder Engine Gas/Electric Hybrid,A/T,"$5,000"
Toyota,2005,"209,500 mi.",Gasoline,282.0HP 4.7L 8 Cylinder Engine Gasoline Fuel,5-Speed A/T,"$8,500"
Ford,2023,195 mi.,Gasoline,310.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,10-Speed A/T,"$87,500"
Chevrolet,2016,"120,000 mi.",Diesel,260.0HP 6.6L 8 Cylinder Engine Diesel Fuel,6-Speed A/T,"$19,500"
Chevrolet,2022,"14,676 mi.",,200.0HP Electric Motor Electric Fuel System,A/T,"$33,000"
Jeep,2021,"33,704 mi.",Hybrid,2.0L I4 16V GDI DOHC Turbo Hybrid,8-Speed Automatic,"$42,998"
BMW,2023,"2,950 mi.",Hybrid,375.0HP 3.0L Straight 6 Cylinder Engine Gasoline/Mild Electric Hybrid,8-Speed A/T,"$87,000"
Mercedes-Benz,2021,"17,994 mi.",Gasoline,3.0L I6 24V GDI DOHC Turbo,9-Speed Automatic,"$87,500"
Toyota,2020,"44,101 mi.",Gasoline,5.7L V8 32V MPFI DOHC,6-Speed Automatic,"$45,423"
BMW,2021,"25,918 mi.",Gasoline,228.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,"$32,000"
BMW,2008,"87,000 mi.",Gasoline,300.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,A/T,"$15,300"
Mazda,2018,"28,333 mi.",Gasoline,184.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,"$20,500"
Audi,2018,"29,294 mi.",Gasoline,340.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,A/T,"$39,999"
Saturn,2008,"37,000 mi.",Gasoline,260.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,"$14,995"
BMW,2005,"138,000 mi.",Gasoline,184.0HP 2.5L Straight 6 Cylinder Engine Gasoline Fuel,5-Speed A/T,"$9,950"
Volvo,2020,"44,487 mi.",Plug-In Hybrid,400.0HP 2.0L 4 Cylinder Engine Plug-In Electric/Gas,8-Speed A/T,"$65,000"
Acura,2021,"16,878 mi.",Gasoline,2.0L I4 16V GDI DOHC Turbo,10-Speed Automatic,"$38,781"
Acura,2022,"30,177 mi.",Gasoline,3.5L 24V SOHC I-VTEC V6,2,"$46,598"
Chevrolet,2021,"53,000 mi.",Gasoline,420.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,10-Speed A/T,"$67,100"
Tesla,2021,"61,308 mi.",,425.0HP Electric Motor Electric Fuel System,A/T,"$42,000"
Mercedes-Benz,2013,"99,200 mi.",Gasoline,302.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,"$11,495"
Chevrolet,2022,"32,117 mi.",Gasoline,3.6L V6 24V GDI DOHC,Automatic,"$33,299"
BMW,2013,"79,341 mi.",Gasoline,445.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,A/T,"$16,800"
Land,2007,"220,000 mi.",Gasoline,300.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,A/T,"$5,750"
BMW,2021,"16,900 mi.",Gasoline,255.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,8-Speed A/T,"$43,000"
Porsche,2007,"75,137 mi.",Gasoline,245.0HP 2.7L Flat 6 Cylinder Engine Gasoline Fuel,M/T,"$24,999"
Ford,2021,"37,594 mi.",Gasoline,3.5L V6 24V PDI DOHC Twin Turbo,10-Speed Automatic,"$62,595"
Rivian,2023,250 mi.,,835.0HP Electric Motor Electric Fuel System,A/T,"$94,000"
Mercedes-Benz,2021,"12,771 mi.",Gasoline,2.0 Liter Turbo,Automatic,"$42,598"
Ford,2012,"6,400 mi.",Gasoline,550.0HP 5.4L 8 Cylinder Engine Gasoline Fuel,6-Speed M/T,"$48,000"
Tesla,2021,"69,548 mi.",,425.0HP Electric Motor Electric Fuel System,1-Speed A/T,"$36,300"
Nissan,2009,"79,893 mi.",Gasoline,332.0HP 3.7L V6 Cylinder Engine Gasoline Fuel,7-Speed A/T,"$15,900"
Toyota,2014,"124,838 mi.",Gasoline,381.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,A/T,"$33,000"
Nissan,2020,"14,353 mi.",Gasoline,375.0HP 5.6L 8 Cylinder Engine Gasoline Fuel,A/T,"$63,900"
Ford,2022,"22,985 mi.",Gasoline,169.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,A/T,"$33,500"
INFINITI,2014,"161,894 mi.",Gasoline,400.0HP 5.6L 8 Cylinder Engine Gasoline Fuel,7-Speed A/T,"$18,900"
Aston,2008,"25,025 mi.",Gasoline,380.0HP 4.3L 8 Cylinder Engine Gasoline Fuel,6-Speed A/T,"$39,000"
Porsche,2017,"16,701 mi.",Gasoline,3.0 Liter,–,"$107,998"
Lotus,2017,"19,650 mi.",Gasoline,400.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,6-Speed M/T,"$69,250"
Land,2020,"29,500 mi.",Gasoline,247.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,"$45,000"
Nissan,2007,"132,272 mi.",Gasoline,261.0HP 4.0L V6 Cylinder Engine Gasoline Fuel,M/T,"$6,700"
Dodge,2012,"122,000 mi.",Gasoline,370.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,5-Speed A/T,"$13,500"
Buick,2022,"18,185 mi.",Gasoline,1.3L I3 12V GDI DOHC Turbo,Automatic CVT,"$31,755"
Nissan,2018,"56,450 mi.",,147.0HP Electric Motor Electric Fuel System,A/T,"$13,999"
Nissan,2012,"102,000 mi.",,107.0HP Electric Motor Electric Fuel System,1-Speed A/T,"$4,200"
Jeep,2022,"18,428 mi.",Gasoline,6.4 Liter,Automatic,"$83,998"
Nissan,2023,535 mi.,Gasoline,400.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,6-Speed M/T,"$65,990"
Land,2013,"81,648 mi.",Gasoline,"5L V-8 gasoline direct injection, DOHC, variable valve control,","Auto, 6-Spd w/CmdShft","$15,900"
Porsche,2003,"138,202 mi.",Gasoline,3.2L H6 24V MPFI DOHC,6-Speed Manual,"$22,550"
Bentley,2004,"69,600 mi.",Gasoline,550.0HP 6.0L 12 Cylinder Engine Gasoline Fuel,A/T,"$37,900"
Jaguar,2018,"39,900 mi.",Gasoline,550.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,"$53,600"
Cadillac,2021,"36,500 mi.",Gasoline,420.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,"$85,000"
Audi,2018,"42,650 mi.",Gasoline,220.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,"$31,990"
Jeep,2020,"68,816 mi.",Gasoline,2.0L I4 16V GDI DOHC Turbo,8-Speed Automatic,"$35,297"
Audi,2016,"91,188 mi.",Gasoline,450.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,7-Speed A/T,"$29,995"
GMC,2015,"116,210 mi.",E85 Flex Fuel,360.0HP 6.0L 8 Cylinder Engine Flex Fuel Capability,Transmission Overdrive Switch,"$31,900"
Tesla,2022,"3,077 mi.",,Dual Motor - Standard,Automatic,"$44,998"
Mazda,2024,"3,880 mi.",Gasoline,2.5L,8-Speed Automatic,"$52,991"
Ford,2017,"67,482 mi.",Plug-In Hybrid,188.0HP 2.0L 4 Cylinder Engine Plug-In Electric/Gas,CVT Transmission,"$11,499"
Cadillac,2018,"67,726 mi.",Gasoline,420.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,10-Speed A/T,"$52,000"
Audi,2008,"207,000 mi.",Gasoline,250.0HP 3.2L V6 Cylinder Engine Gasoline Fuel,6-Speed M/T,"$10,500"
Hyundai,2021,"35,550 mi.",Gasoline,2.5L I4 16V PDI DOHC,8-Speed Automatic,"$25,987"
Mercedes-Benz,2016,"44,000 mi.",Gasoline,577.0HP 5.5L 8 Cylinder Engine Gasoline Fuel,7-Speed A/T,"$46,599"
Mercedes-Benz,2015,"11,249 mi.",Gasoline,429.0HP 4.7L 8 Cylinder Engine Gasoline Fuel,7-Speed A/T,"$54,500"
Acura,2014,"111,650 mi.",Gasoline,290.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,6-Speed A/T,"$17,500"
RAM,2019,"18,526 mi.",Diesel,6.7L I6 24V DDI OHV Turbo Diesel,6-Speed Automatic,"$67,999"
Audi,2012,"103,272 mi.",Gasoline,310.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,"$15,500"
BMW,2023,"1,160 mi.",Gasoline,453.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,6-Speed M/T,"$73,600"
RAM,2019,"107,714 mi.",Gasoline,5.7L V8 16V MPFI OHV,8-Speed Automatic,"$34,918"
Audi,2013,"111,773 mi.",Gasoline,211.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,8-Speed A/T,"$17,000"
Cadillac,2019,"54,002 mi.",Gasoline,304.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,A/T,"$22,500"
Volkswagen,2016,"87,000 mi.",Gasoline,150.0HP 1.4L 4 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,"$13,000"
Ford,2016,"49,700 mi.",Gasoline,350.0HP 2.3L 4 Cylinder Engine Gasoline Fuel,6-Speed M/T,"$31,700"
Mercedes-Benz,2017,"34,500 mi.",Gasoline,503.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,7-Speed A/T,"$64,600"
Ford,2021,"31,729 mi.",Gasoline,1.5L I3 12V PDI DOHC Turbo,8-Speed Automatic,"$29,614"
Jeep,2021,"7,388 mi.",Gasoline,3.6L V6 24V MPFI DOHC,8-Speed Automatic,"$43,663"
BMW,2017,"41,550 mi.",Plug-In Hybrid,247.0HP 2.0L 4 Cylinder Engine Plug-In Electric/Gas,Transmission w/Dual Shift Mode,"$20,995"
Mercedes-Benz,2018,"44,486 mi.",Gasoline,2.0L I4 16V GDI DOHC Turbo,9-Speed Automatic,"$25,625"
Acura,2013,"20,750 mi.",Gasoline,300.0HP 3.7L V6 Cylinder Engine Gasoline Fuel,6-Speed A/T,"$33,000"
Genesis,2022,"12,000 mi.",Gasoline,365.0HP 3.3L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,"$41,000"
Lexus,2021,"14,206 mi.",Gasoline,383.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,A/T,"$98,000"
Jeep,2022,"31,700 mi.",Gasoline,293.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,A/T,"$43,500"
Hyundai,2022,"13,044 mi.",Plug-In Hybrid,139.0HP 1.6L 4 Cylinder Engine Plug-In Electric/Gas,A/T,"$24,999"
Kia,2009,"100,730 mi.",Gasoline,173.0HP 2.7L V6 Cylinder Engine Gasoline Fuel,A/T,"$6,975"
BMW,2023,"5,338 mi.",Plug-In Hybrid,389.0HP 3.0L Straight 6 Cylinder Engine Plug-In Electric/Gas,8-Speed A/T,"$76,500"
Ford,2014,"85,149 mi.",Gasoline,5.4 Liter,Automatic,"$23,598"
BMW,2018,"48,291 mi.",Gasoline,567.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,"$67,250"
Volkswagen,2001,"111,887 mi.",Gasoline,140.0HP 2.8L V6 Cylinder Engine Gasoline Fuel,A/T,"$14,000"
Rolls-Royce,2010,"79,000 mi.",Gasoline,563.0HP 6.6L 12 Cylinder Engine Gasoline Fuel,8-Speed A/T,"$69,000"
Lincoln,2016,"125,000 mi.",Gasoline,380.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,"$26,500"
Mercedes-Benz,2022,"13,777 mi.",Gasoline,221.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,8-Speed A/T,"$39,777"
RAM,2022,"14,920 mi.",Gasoline,3.6L V6 24V MPFI DOHC,Automatic,"$41,741"
Jeep,2022,"14,627 mi.",Gasoline,3.6L V6 24V MPFI DOHC,Automatic,"$56,740"
Volvo,2010,"90,050 mi.",Gasoline,235.0HP 3.2L Straight 6 Cylinder Engine Gasoline Fuel,A/T,"$5,800"
Subaru,2014,"45,000 mi.",Gasoline,200.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,6-Speed M/T,"$25,000"
Chevrolet,1998,"7,666 mi.",Gasoline,340.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,4-Speed A/T,"$39,500"
Hummer,2006,"89,900 mi.",Gasoline,325.0HP 6.0L 8 Cylinder Engine Gasoline Fuel,4-Speed A/T,"$29,994"
Audi,2021,"14,724 mi.",Hybrid,4.0 Liter TFSI,Automatic,"$101,998"
Ford,2011,"132,000 mi.",Gasoline,305.0HP 3.7L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,"$10,999"
GMC,2010,"32,652 mi.",Gasoline,182.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,6-Speed A/T,"$6,500"
Land,2018,"36,632 mi.",Gasoline,518.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,"$72,567"
Jeep,2022,"11,164 mi.",Gasoline,293.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,"$37,500"
BMW,2020,"22,655 mi.",Gasoline,425.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,7-Speed A/T,"$63,999"
Mercedes-Benz,2019,"9,500 mi.",Gasoline,630.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,"$135,000"
Chevrolet,2021,"10,300 mi.",Gasoline,335.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,M/T,"$29,900"
BMW,2018,"48,000 mi.",Gasoline,567.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,"$54,000"
Mercedes-Benz,2007,"138,000 mi.",Gasoline,382.0HP 5.5L 8 Cylinder Engine Gasoline Fuel,7-Speed A/T,"$10,000"
RAM,2022,"24,058 mi.",Gasoline,"HEMI 6.2L V-8 intercooled supercharger, premium unleaded, engine","Automatic, 8-Spd","$81,900"
Audi,2016,"31,500 mi.",Gasoline,560.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,"$67,000"
Porsche,2020,"19,701 mi.",Gasoline,3.0 Liter,Automatic,"$55,998"
Genesis,2022,"10,200 mi.",Gasoline,375.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,"$50,500"
Aston,2008,"62,378 mi.",Gasoline,380.0HP 4.3L 8 Cylinder Engine Gasoline Fuel,M/T,"$33,995"
Nissan,2006,"84,200 mi.",Gasoline,300.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,6-Speed M/T,"$10,200"
Toyota,2013,"138,700 mi.",E85 Flex Fuel,381.0HP 5.7L 8 Cylinder Engine Flex Fuel Capability,A/T,"$18,800"
Chevrolet,2021,"41,050 mi.",Gasoline,355.0HP 5.3L 8 Cylinder Engine Gasoline Fuel,10-Speed A/T,"$62,900"
Jeep,2020,"39,192 mi.",Gasoline,2.4L I4 16V MPFI SOHC,9-Speed Automatic,"$24,590"
BMW,2022,"7,758 mi.",Gasoline,2.0 Liter Turbo,Automatic,"$47,998"
Ford,2021,"31,654 mi.",Gasoline,1.5L I3 12V PDI DOHC Turbo,8-Speed Automatic,"$33,410"
Mercedes-Benz,2017,"63,000 mi.",Gasoline,469.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,A/T,"$42,000"
Volvo,2005,"257,700 mi.",Gasoline,218.0HP 2.5L 5 Cylinder Engine Gasoline Fuel,6-Speed M/T,"$3,550"
Mercedes-Benz,2017,"57,000 mi.",Gasoline,302.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,7-Speed A/T,"$29,500"
Chevrolet,2017,"89,000 mi.",Gasoline,355.0HP 5.3L 8 Cylinder Engine Gasoline Fuel,6-Speed A/T,"$29,999"
Chevrolet,2015,"134,500 mi.",Gasoline,355.0HP 5.3L 8 Cylinder Engine Gasoline Fuel,A/T,"$28,000"
Acura,2022,"15,895 mi.",Gasoline,3.5L V6 24V GDI SOHC,10-Speed Automatic,"$47,950"
Bentley,2020,"15,109 mi.",Gasoline,6.0L W12 48V PDI DOHC Twin Turbo,8-Speed Automatic,"$162,950"
Rolls-Royce,2022,398 mi.,Gasoline,6.7L V12 48V GDI DOHC Twin Turbo,8-Speed Automatic,"$695,000"
Genesis,2022,"20,319 mi.",Gasoline,300.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,"$44,249"
Pontiac,1999,"158,000 mi.",Gasoline,200.0HP 3.8L V6 Cylinder Engine Gasoline Fuel,4-Speed A/T,"$2,500"
Lexus,2021,"40,906 mi.",Gasoline,4.6 Liter,Automatic,"$51,998"
BMW,2020,"33,749 mi.",Gasoline,4.4 Liter Twin Turbo,Automatic,"$85,998"
BMW,2023,"1,120 mi.",Gasoline,503.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,8-Speed A/T,"$92,900"
Jeep,2021,"26,088 mi.",Gasoline,3.6L V6 24V MPFI DOHC,8-Speed Automatic,"$38,383"
Kia,2022,"14,950 mi.",Gasoline,147.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,"$24,000"
Kia,2018,"47,466 mi.",Gasoline,"2L I-4 DOHC, D-CVVT variable valve control, engine with 147HP",Automatic,"$14,699"
BMW,2022,"10,376 mi.",Gasoline,4.4L V8 32V GDI DOHC Twin Turbo,8-Speed Automatic,"$98,900"
RAM,2021,"18,500 mi.",Gasoline,280.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,A/T,"$41,950"
Volkswagen,2021,"24,596 mi.",Gasoline,3.6L V6 24V GDI DOHC,8-Speed Automatic,"$38,322"
Hyundai,2021,"2,905 mi.",Gasoline,2.5L I4 16V PDI DOHC,8-Speed Automatic,"$27,599"
Jaguar,2015,"71,290 mi.",Gasoline,340.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,A/T,"$21,000"
Audi,2022,"15,000 mi.",Hybrid,335.0HP 3.0L V6 Cylinder Engine Gasoline/Mild Electric Hybrid,A/T,"$63,000"
INFINITI,2017,"37,900 mi.",Gasoline,208.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,7-Speed A/T,"$22,000"
Mercedes-Benz,2022,"2,000 mi.",Gasoline,577.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,"$244,896"
Mercedes-Benz,2019,"32,500 mi.",Gasoline,385.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,9-Speed A/T,"$43,500"
Mitsubishi,2003,"61,491 mi.",Gasoline,271.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,5-Speed M/T,"$28,000"
Jeep,2013,"77,634 mi.",Gasoline,3.6L V6 24V MPFI DOHC,5-Speed Automatic,"$24,590"
Audi,2015,"83,000 mi.",Diesel,150.0HP 2.0L 4 Cylinder Engine Diesel Fuel,6-Speed A/T,"$18,999"
Volkswagen,2002,"121,800 mi.",Gasoline,174.0HP 2.8L V6 Cylinder Engine Gasoline Fuel,5-Speed M/T,"$4,300"
BMW,2020,"65,852 mi.",Gasoline,4.4 Liter Twin Turbo,Automatic,"$68,998"
Bentley,2023,"1,335 mi.",Gasoline,4.0L V8 32V GDI DOHC Twin Turbo,8-Speed Automatic,"$272,950"
Mercedes-Benz,2014,"83,315 mi.",Gasoline,208.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,"$15,000"
BMW,2019,"18,421 mi.",Plug-In Hybrid,369.0HP 1.5L 3 Cylinder Engine Plug-In Electric/Gas,6-Speed A/T,"$85,000"
Lexus,2015,"101,000 mi.",Hybrid,134.0HP 1.8L 4 Cylinder Engine Gas/Electric Hybrid,A/T,"$16,500"
Toyota,2022,"29,322 mi.",Gasoline,3.4L V6 24V PDI DOHC Twin Turbo,10-Speed Automatic,"$44,999"
Mercedes-Benz,2019,"23,900 mi.",Gasoline,241.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,9-Speed A/T,"$35,999"
Mercedes-Benz,2016,"40,515 mi.",Gasoline,4.0L V8 32V GDI DOHC Twin Turbo,7-Speed Automatic,"$47,999"
Ford,2020,"67,516 mi.",Gasoline,3.5L V6 24V PDI DOHC Twin Turbo,Automatic,"$36,994"
Mazda,2010,"155,000 mi.",Gasoline,273.0HP 3.7L V6 Cylinder Engine Gasoline Fuel,6-Speed A/T,"$8,300"
Honda,2019,"26,998 mi.",Gasoline,3.5L V6 24V GDI SOHC,6-Speed Automatic,"$35,557"
Bentley,2018,"18,500 mi.",Gasoline,600.0HP 6.0L 12 Cylinder Engine Gasoline Fuel,8-Speed A/T,"$115,000"
MINI,2009,"137,600 mi.",Gasoline,172.0HP 1.6L 4 Cylinder Engine Gasoline Fuel,6-Speed M/T,"$6,880"
Nissan,2005,"125,500 mi.",Gasoline,245.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,CVT Transmission,"$3,950"
Bentley,2019,"22,039 mi.",Gasoline,542.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,"$113,990"
Nissan,2011,"137,483 mi.",Gasoline,188.0HP 1.6L 4 Cylinder Engine Gasoline Fuel,CVT Transmission,"$3,200"
Ford,2019,"67,500 mi.",Gasoline,375.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,10-Speed A/T,"$40,500"
Ford,2020,"52,000 mi.",Gasoline,375.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,10-Speed A/T,"$53,722"
Lamborghini,2006,"10,000 mi.",Gasoline,571.0HP 6.2L 12 Cylinder Engine Gasoline Fuel,A/T,"$259,000"
Chevrolet,2017,"195,361 mi.",Gasoline,355.0HP 5.3L 8 Cylinder Engine Gasoline Fuel,Transmission Overdrive Switch,"$26,000"
Bentley,2018,"32,500 mi.",Gasoline,600.0HP 6.0L 12 Cylinder Engine Gasoline Fuel,A/T,"$103,000"
BMW,2019,"14,806 mi.",Gasoline,601.0HP 6.6L 12 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,"$81,330"
Genesis,2022,"11,000 mi.",Gasoline,300.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,A/T,"$48,950"
Chevrolet,2011,"92,530 mi.",E85 Flex Fuel,320.0HP 5.3L 8 Cylinder Engine Flex Fuel Capability,A/T,"$18,500"
Dodge,2017,"34,845 mi.",Gasoline,295.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,A/T,"$30,000"
Porsche,2018,"16,280 mi.",Gasoline,365.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,"$85,500"
Porsche,2011,"77,000 mi.",Gasoline,265.0HP 2.9L Flat 6 Cylinder Engine Gasoline Fuel,A/T,"$32,000"
Porsche,2010,"63,000 mi.",Gasoline,500.0HP 4.8L 8 Cylinder Engine Gasoline Fuel,7-Speed A/T,"$38,500"
Lexus,2016,"39,700 mi.",Gasoline,268.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,6-Speed A/T,"$25,500"
Kia,2013,"103,111 mi.",Hybrid,199.0HP 2.4L 4 Cylinder Engine Gas/Electric Hybrid,A/T,"$9,200"
Land,2019,"75,897 mi.",Gasoline,2.0 Liter,Automatic,"$35,998"
Jaguar,2017,"55,000 mi.",Gasoline,380.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,"$34,000"
Lexus,2005,"114,000 mi.",Gasoline,270.0HP 4.7L 8 Cylinder Engine Gasoline Fuel,A/T,"$13,450"
Mercedes-Benz,2011,"80,124 mi.",Gasoline,382.0HP 5.5L 8 Cylinder Engine Gasoline Fuel,7-Speed A/T,"$17,500"
BMW,2023,"7,000 mi.",Gasoline,600.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,"$144,900"
RAM,2023,"4,285 mi.",Gasoline,5.7L V8 16V MPFI OHV,Automatic,"$65,688"
Lamborghini,2019,"17,175 mi.",Gasoline,5.2L V10 40V GDI DOHC,7-Speed Automatic with Auto-Shift,"$234,900"
Toyota,2017,"34,049 mi.",Hybrid,3.5L V6 24V PDI DOHC Hybrid,Automatic CVT,"$37,999"
Audi,2019,"16,000 mi.",,355.0HP Electric Motor Electric Fuel System,A/T,"$39,990"
GMC,1996,"95,000 mi.",Gasoline,290.0HP 7.4L 8 Cylinder Engine Gasoline Fuel,4-Speed A/T,"$25,000"
Land,2020,"59,355 mi.",Gasoline,V8,Automatic,"$72,995"
Chevrolet,2022,"31,000 mi.",,200.0HP Electric Motor Electric Fuel System,1-Speed A/T,"$36,000"
BMW,2019,"19,300 mi.",Gasoline,335.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,8-Speed A/T,"$36,000"
Cadillac,2009,"155,000 mi.",E85 Flex Fuel,403.0HP 6.2L 8 Cylinder Engine Flex Fuel Capability,6-Speed A/T,"$16,900"
Scion,2010,"120,010 mi.",Gasoline,161.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,4-Speed A/T,"$6,500"
Kia,2012,"152,520 mi.",Gasoline,200.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,6-Speed A/T,"$10,900"
Honda,1993,"58,981 mi.",–,–,A/T,"$9,599"
Maserati,2005,"32,000 mi.",Gasoline,394.0HP 4.2L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,"$2,954,083"
Porsche,2015,"47,000 mi.",Gasoline,520.0HP 4.8L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,"$50,000"
Genesis,2023,"2,046 mi.",Gasoline,252.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,8-Speed A/T,"$43,499"
Chevrolet,2021,"24,965 mi.",Gasoline,1.2L I3 12V GDI DOHC Turbo,Automatic CVT,"$22,995"
Toyota,2005,"108,000 mi.",Gasoline,160.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,5-Speed A/T,"$7,850"
Toyota,2015,"76,000 mi.",Gasoline,266.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,"$18,300"
